date,arrival time,DOW
2/29/2016,8.31,2
3/7/2016,8.28,2
3/13/2016,8.31,1
3/17/2016,8.21,5
3/21/2016,8.3,2
3/28/2016,8.34,2
4/4/2016,8.31,2
4/7/2016,8.17,5
4/11/2016,8.33,2
4/16/2016,8.38,7
4/28/2016,8.11,5
5/2/2016,8.32,2
5/9/2016,8.33,2
5/16/2016,8.31,2
5/23/2016,8.3,2
6/6/2016,8.32,2
6/13/2016,8.25,2
6/27/2016,8.29,2
7/11/2016,8.28,2
7/18/2016,8.35,2
8/15/2016,8.23,2
8/22/2016,8.28,2
8/29/2016,8.28,2
9/12/2016,8.37,2
9/19/2016,8.26,2
9/26/2016,8.24,2
10/3/2016,8.34,2
10/13/2016,8.18,5
10/17/2016,8.31,2
10/24/2016,8.26,2
10/31/2016,8.31,2
11/3/2016,8.16,5
11/14/2016,8.33,2
11/21/2016,8.3,2
11/28/2016,8.26,2
12/5/2016,8.35,2
12/12/2016,8.31,2
12/19/2016,8.29,2
1/9/2017,8.31,2
1/19/2017,8.1,5
1/23/2017,8.28,2
1/30/2017,8.32,2
2/6/2017,8.29,2
2/13/2017,8.28,2
2/23/2017,8.08,5
2/27/2017,8.32,2
3/6/2017,8.32,2
3/13/2017,8.32,2
3/20/2017,8.33,2
3/27/2017,8.3,2
3/30/2017,8.13,5
